"IDX_REPORTE","FECHA_REPORTE_C","SEXO","ESTADO_CIVIL","NIVEL_EDUCATIVO","ESTADO","EDAD_C","EDAD_G","ESTADO_CIVIL_G","NIVEL_EDUCATIVO_G","ANIO_REPORTE","FLAG"
"03-014522-0","2023-07-31","Mujer","Soltera","Preparatoria","Aguascalientes",33,"Adultez","Soltera","Medio",2023,0
"03-014537-0","2019-01-26","Hombre","Union libre","Secundaria","Guanajuato",48,"Adultez","Relacion","Medio",2019,0
"03-014542-0","2022-08-22","Hombre","Concubina","Secundaria","Guerrero",29,"Juventud","Relacion","Medio",2022,0
"03-014544-0",NA,"Hombre","Soltera","Preparatoria","Portal",28,"Juventud","Soltera","Medio",NA,0
"03-014552-0",NA,"Hombre","Soltera","Licenciatura","Portal",33,"Adultez","Soltera","Superior",NA,0
"03-014561-0","2021-09-30","Mujer","Casada","Secundaria","México",43,"Adultez","Relacion","Medio",2021,0
"03-014567-0","2022-11-14","Hombre","Soltera","Preparatoria","Ciudad de México",23,"Juventud","Soltera","Medio",2022,0
"03-014580-0","2023-01-03","Hombre","Soltera","Secundaria","Guerrero",23,"Juventud","Soltera","Medio",2023,0
"03-014598-0",NA,"Hombre","Casada","Primaria","Portal",61,"Adultez Mayor","Relacion","Basico",NA,0
"03-014599-0",NA,"Hombre","Union libre","Primaria","Veracruz de Ignacio de la Llave",23,"Juventud","Relacion","Basico",NA,0
"03-014634-0",NA,"Mujer","Soltera","Preparatoria","Ciudad de México",15,"Adolescencia","Soltera","Medio",NA,0
"03-014636-0",NA,"Mujer","Union libre","Secundaria","Veracruz de Ignacio de la Llave",20,"Juventud","Relacion","Medio",NA,0
"03-014649-0","2023-04-03","Hombre","Soltera","Preparatoria","Guerrero",30,"Juventud","Soltera","Medio",2023,0
"03-014678-0","2021-01-07","Hombre","Casada","Licenciatura","Hidalgo",36,"Adultez","Relacion","Superior",2021,0
"03-014683-0","2014-08-26","Hombre","Concubina","Licenciatura","Nacional",72,"Adultez Mayor","Relacion","Superior",2014,0
"03-014694-0",NA,"Hombre","Casada","Preparatoria","Portal",38,"Adultez","Relacion","Medio",NA,0
"03-014728-0","2023-05-11","Hombre","Soltera","Preparatoria","Michoacán de Ocampo",21,"Juventud","Soltera","Medio",2023,0
"03-014732-0","2023-03-01","Hombre","Soltera","Primaria","Michoacán de Ocampo",15,"Adolescencia","Soltera","Basico",2023,0
"03-014734-0","2023-06-22","Hombre","Soltera","Primaria","Nacional",42,"Adultez","Soltera","Basico",2023,0
"03-014744-0",NA,"Hombre","Union libre","Primaria","Portal",24,"Juventud","Relacion","Basico",NA,0
"03-014773-0","2023-05-23","Mujer","Divorciada","Secundaria","Zacatecas",24,"Juventud","Separada/Divorciada","Medio",2023,0
"03-014775-0","2022-05-18","Hombre","Soltera","Primaria","Puebla",41,"Adultez","Soltera","Basico",2022,0
"03-014789-0",NA,"Hombre","Casada","Secundaria","Portal",37,"Adultez","Relacion","Medio",NA,0
"03-014792-0",NA,"Hombre","Divorciada","Secundaria","Portal",32,"Adultez","Separada/Divorciada","Medio",NA,0
"03-014812-0","2010-12-15","Mujer","Soltera","Preparatoria","México",16,"Adolescencia","Soltera","Medio",2010,0
"03-014813-0","2023-06-09","Hombre","Soltera","Secundaria","Sinaloa",58,"Adultez","Soltera","Medio",2023,0
"03-014828-0","2022-07-06","Hombre","Divorciada","Secundaria","Guerrero",37,"Adultez","Separada/Divorciada","Medio",2022,0
"03-014847-0",NA,"Mujer","Soltera","Secundaria","Veracruz de Ignacio de la Llave",14,"Adolescencia","Soltera","Medio",NA,0
"03-014848-0",NA,"Hombre","Soltera","Secundaria","Nacional",21,"Juventud","Soltera","Medio",NA,0
"03-014849-0","2021-08-10","Hombre","Union libre","Secundaria","México",31,"Adultez","Relacion","Medio",2021,0
"03-014857-0","2022-10-27","Hombre","Soltera","Secundaria","Sinaloa",27,"Juventud","Soltera","Medio",2022,0
"03-014868-0","2021-07-19","Hombre","Union libre","Secundaria","Sinaloa",27,"Juventud","Relacion","Medio",2021,0
"03-014874-0","2022-02-12","Hombre","Casada","Primaria","Portal",60,"Adultez","Relacion","Basico",2022,0
"03-014878-0",NA,"Hombre","Soltera","Primaria","Portal",71,"Adultez Mayor","Soltera","Basico",NA,0
"03-014880-0","2007-01-26","Hombre","Soltera","Preparatoria","Nacional",68,"Adultez Mayor","Soltera","Medio",2007,0
"03-014881-0","2022-11-25","Hombre","Union libre","Secundaria","Veracruz de Ignacio de la Llave",31,"Adultez","Relacion","Medio",2022,0
"03-014883-0","2021-01-25","Mujer","Soltera","Secundaria","México",29,"Juventud","Soltera","Medio",2021,0
"03-014884-0","2022-05-30","Hombre","Concubina","Primaria","Guerrero",32,"Adultez","Relacion","Basico",2022,0
"03-014887-0","2022-02-10","Mujer","Separada","Secundaria","Portal",26,"Juventud","Separada/Divorciada","Medio",2022,0
"03-014893-0","2020-07-06","Hombre","Soltera","Primaria","México",26,"Juventud","Soltera","Basico",2020,0
"03-014904-0",NA,"Hombre","Soltera","Secundaria","Portal",25,"Juventud","Soltera","Medio",NA,0
"03-014909-0",NA,"Hombre","Casada","Sin escolaridad","Portal",68,"Adultez Mayor","Relacion","Desconocido",NA,0
"03-014926-0","2019-01-10","Hombre","Soltera","Primaria","Sinaloa",38,"Adultez","Soltera","Basico",2019,0
"03-014935-0",NA,"Hombre","Soltera","Secundaria","Portal",21,"Juventud","Soltera","Medio",NA,0
